date,dailyreturn
2019-03-12,-0.20
2019-03-13,0.37
2019-03-14,0.56
2019-03-15,0.75
2019-03-18,0.75
2019-03-19,-0.45
2019-03-20,0.04
2019-03-21,0.29
2019-03-22,0.36
2019-03-25,-1.75
2019-03-26,0.92
2019-03-27,-0.39
2019-03-28,0.56
2019-03-29,-0.19
2019-04-01,-0.25
2019-04-02,0.36
2019-04-04,0.29
2019-04-05,-0.32
2019-04-08,-0.75
2019-04-09,0.91
2019-04-10,-0.09
2019-04-11,-1.05
2019-04-12,-0.07
2019-04-15,0.46
2019-04-16,0.72
2019-04-18,0.40
2019-04-22,-1.42
2019-04-23,0.75
2019-04-24,-0.23
2019-04-25,-1.16
2019-04-26,0.44
2019-04-29,0.39
2019-04-30,0.46
2019-05-02,-1.25
2019-05-03,-0.86
2019-05-06,-1.00
2019-05-07,0.65
2019-05-08,-0.43
2019-05-09,-1.14
2019-05-10,0.17
2019-05-13,-1.19
2019-05-14,-1.05
2019-05-15,-1.49
2019-05-16,-1.42
2019-05-17,-1.17
2019-05-20,1.38
2019-05-21,0.75
2019-05-22,-0.20
2019-05-23,1.57
2019-05-24,0.41
2019-05-27,0.69
2019-05-28,-1.08
2019-05-29,1.18
2019-05-31,1.72
2019-06-10,1.30
2019-06-11,0.26
2019-06-12,-0.47
2019-06-13,-0.05
2019-06-14,-0.36
2019-06-17,-0.96
2019-06-18,1.08
2019-06-19,1.31
2019-06-20,-0.06
2019-06-21,-0.32
2019-06-24,-0.43
2019-06-25,0.51
2019-06-26,-0.16
2019-06-27,0.67
2019-06-28,0.09
2019-07-01,0.33
2019-07-02,0.08
2019-07-03,-0.35
2019-07-04,0.21
2019-07-05,-0.04
2019-07-08,-0.34
2019-07-09,0.57
2019-07-10,0.35
2019-07-11,0.10
2019-07-12,-0.68
2019-07-15,0.70
2019-07-16,-0.25
2019-07-17,-0.11
2019-07-18,0.14
2019-07-19,0.83
2019-07-22,-0.36
2019-07-23,-0.46
2019-07-24,-0.29
2019-07-25,0.26
2019-07-26,-1.19
2019-07-29,-0.41
2019-07-30,1.24
2019-07-31,0.21
2019-08-01,-0.14
